date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-02-02,19.08,19.09,18.17,17.93,38469.36,-0.97,-5.07,19.372,19.589,19.307,38819.29,33975.09,34897.47,3.34
2021-02-01,19.96,19.96,19.14,18.82,46887.0,-1.12,-5.53,19.63,19.855,19.443,36462.99,36298.64,34126.45,4.07
2021-01-29,18.91,20.31,20.26,18.63,48551.02,0.94,4.87,19.652,19.924,19.537,32527.39,36273.24,33152.0,4.22
2021-01-28,19.81,20.17,19.32,19.19,29011.01,-0.65,-3.25,19.538,19.761,19.559,28313.8,34930.28,31839.69,2.52
2021-01-27,19.44,20.39,19.97,18.91,31178.04,0.51,2.62,19.722,19.614,19.616,27914.1,34030.81,31368.34,2.71
2021-01-26,19.28,20.09,19.46,19.18,26687.87,0.21,1.09,19.806,19.412,19.651,29130.89,33735.5,31292.32,2.32
2021-01-25,19.68,19.8,19.25,18.61,27209.01,-0.44,-2.23,20.08,19.332,19.7,36134.29,34023.5,31760.02,3.24
2021-01-22,20.11,20.29,19.69,19.6,27483.08,-0.55,-2.72,20.196,19.228,19.823,40019.09,33850.91,31498.77,3.27
2021-01-21,20.19,20.67,20.24,19.8,27012.51,-0.15,-0.74,19.984,19.181,19.925,41546.76,34944.11,32425.33,3.22
2021-01-20,20.75,21.09,20.39,19.93,37262.0,-0.44,-2.11,19.506,19.062,20.044,40147.53,36362.74,32304.11,4.44
2021-01-19,19.79,21.1,20.83,19.64,61704.87,1.0,5.04,19.018,19.025,20.155,38340.11,35819.85,31790.46,7.35
2021-01-18,18.6,19.87,19.83,18.48,46633.0,1.2,6.44,18.584,19.03,20.249,31912.7,31954.27,29714.06,5.56
2021-01-15,17.86,18.78,18.63,17.71,35121.43,0.78,4.37,18.26,19.149,20.391,27682.73,30030.77,28803.75,4.19
2021-01-14,17.96,18.24,17.85,17.56,20016.33,-0.1,-0.56,18.378,19.356,20.619,28341.46,28749.1,28322.12,2.39
2021-01-13,18.62,18.66,17.95,17.82,28224.92,-0.71,-3.81,18.618,19.618,20.884,32577.95,28705.87,28473.76,3.36
2021-01-12,18.23,19.31,18.66,18.11,29567.84,0.45,2.47,19.032,19.889,21.167,33299.59,28849.13,28883.97,3.52
2021-01-11,19.06,19.16,18.21,18.2,25483.15,-1.01,-5.25,19.476,20.068,21.401,31995.83,29496.55,30761.83,3.04
2021-01-08,19.05,19.49,19.22,18.05,38415.05,0.17,0.89,20.038,20.418,21.786,32378.8,29146.63,33125.95,4.58
2021-01-07,20.0,20.04,19.05,18.88,41198.8,-0.97,-4.84,20.334,20.668,22.065,29156.74,29906.56,32705.85,4.91
2021-01-06,20.73,20.85,20.02,20.02,31833.1,-0.86,-4.12,20.618,21.025,22.332,24833.78,28245.48,32804.66,3.79
2021-01-05,21.02,21.08,20.88,20.6,23049.05,-0.14,-0.67,20.746,21.284,22.597,24398.67,27761.07,32493.75,2.75
2021-01-04,20.69,21.19,21.02,20.52,27398.01,0.32,1.55,20.66,21.468,22.818,26997.26,27473.86,33183.4,3.26
2020-12-31,20.69,21.09,20.7,20.31,22304.73,0.23,1.12,20.798,21.633,23.08,25914.46,27576.72,32897.7,2.66
2020-12-30,20.98,20.98,20.47,20.31,19584.0,-0.19,-0.92,21.002,21.881,23.366,30656.37,27895.15,33470.21,2.33
2020-12-29,20.59,21.28,20.66,20.4,29657.57,0.21,1.03,21.432,22.15,23.661,31657.18,28241.66,35531.2,3.53
2020-12-28,21.01,21.49,20.45,20.4,36042.0,-1.26,-5.8,21.822,22.445,24.013,31123.46,28918.82,36184.85,4.29
2020-12-25,21.19,21.98,21.71,21.16,21984.0,-0.01,-0.05,22.276,22.733,24.372,27950.46,32027.12,36399.3,2.62
2020-12-24,22.47,22.48,21.72,20.51,46014.29,-0.9,-3.98,22.468,23.154,24.704,29238.98,37105.27,37628.05,5.48
2020-12-23,22.61,23.09,22.62,22.36,24588.02,0.01,0.04,22.76,23.461,25.053,25133.93,35505.14,38009.13,2.93
2020-12-22,23.0,23.15,22.61,22.55,26989.0,-0.11,-0.48,22.868,23.639,25.41,24826.15,37363.84,39272.29,3.22
2020-12-21,22.67,23.15,22.72,22.5,20177.0,0.05,0.22,23.068,23.91,25.788,26714.17,37226.44,41707.43,2.4
2020-12-18,23.17,23.17,22.67,22.48,28426.61,-0.51,-2.2,23.19,24.168,26.213,36103.77,38892.94,45643.55,3.39
2020-12-17,23.17,23.42,23.18,22.67,25489.0,0.02,0.09,23.84,24.527,26.652,44971.55,38218.68,51737.85,3.04
2020-12-16,23.41,23.65,23.16,22.99,23049.13,-0.45,-1.91,24.162,24.85,27.124,45876.35,39045.28,56813.74,2.75
2020-12-15,22.81,23.96,23.61,22.75,36429.11,0.28,1.2,24.41,25.172,27.449,49901.53,42820.75,58832.29,4.34
2020-12-14,25.82,25.82,23.33,23.33,67125.02,-2.59,-9.99,24.752,25.581,27.678,47738.7,43450.88,60501.38,8.0
2020-12-11,25.05,26.11,25.92,24.98,72765.5,1.13,4.56,25.146,26.01,28.042,41682.1,40771.47,60767.94,8.67
2020-12-10,24.17,24.88,24.79,23.92,30013.0,0.39,1.6,25.214,26.253,28.277,31465.8,38150.82,60695.8,3.58
2020-12-09,25.35,25.35,24.4,24.15,43175.0,-0.92,-3.63,25.538,26.644,28.567,32214.2,40513.12,64402.56,5.14
2020-12-08,25.34,25.85,25.32,25.25,25615.0,0.02,0.08,25.934,27.181,28.788,35739.97,41180.74,65171.61,3.05
2020-12-07,26.1,26.1,25.3,25.28,36842.02,-0.96,-3.66,26.41,27.666,28.963,39163.05,46188.42,68412.63,4.39
2020-12-04,26.3,26.48,26.26,26.01,21684.0,-0.15,-0.57,26.874,28.257,29.091,39860.84,52394.16,70029.05,2.58
2020-12-03,26.3,26.6,26.41,25.88,33754.99,0.03,0.11,27.292,28.777,29.12,44835.84,65257.01,70761.5,4.02
2020-12-02,27.4,27.7,26.38,26.19,60803.83,-1.32,-4.76,27.75,29.398,29.14,48812.05,74582.19,71221.51,7.25
2020-12-01,28.1,28.4,27.7,27.3,42730.4,0.08,0.29,28.428,29.725,29.097,46621.51,74843.83,69695.61,5.09
2020-11-30,28.2,28.35,27.62,27.6,40331.0,-0.73,-2.58,28.922,29.775,29.012,53213.79,77551.89,69053.48,4.81
2020-11-27,28.7,28.91,28.35,28.18,46559.0,-0.35,-1.22,29.64,30.074,28.916,64927.47,80764.41,69224.23,5.55
2020-11-26,29.7,29.7,28.7,28.5,53636.0,-1.07,-3.59,30.262,30.301,28.828,85678.18,83240.78,69676.37,6.39
2020-11-25,29.0,30.1,29.77,29.0,49851.14,-0.4,-1.33,31.046,30.49,28.752,100352.34,88292.0,70393.62,5.94
2020-11-24,30.77,31.19,30.17,29.62,75691.79,-1.04,-3.33,31.022,30.395,28.583,103066.14,89162.49,69737.95,9.02
2020-11-23,32.35,32.35,31.21,29.99,98899.42,-0.25,-0.8,30.628,30.26,28.379,101889.99,90636.83,67433.67,11.79
2020-11-20,32.42,33.33,31.46,30.55,150312.55,-1.16,-3.56,30.508,29.925,28.093,96601.34,87663.94,63696.9,17.91
2020-11-19,30.0,32.62,32.62,29.4,127006.81,2.97,10.02,30.34,29.463,27.78,80803.38,76265.98,57670.98,15.13
2020-11-18,28.36,30.15,29.65,28.28,63420.14,1.45,5.14,29.934,28.882,27.453,76231.65,67860.82,52970.32,7.56
2020-11-17,30.0,30.3,28.2,28.19,69811.01,-2.41,-7.87,29.768,28.468,27.289,75258.83,64547.4,53350.41,8.32
